,corpus
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
1,ok lar joke wif u oni
2,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli
3,u dun say earli hor u c alreadi say
4,nah think goe usf live around though
5,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
6,even brother like speak treat like aid patent
7,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
8,winner valu network custom select receivea prize reward claim call claim code kl valid hour
9,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
10,gonna home soon want talk stuff anymor tonight k cri enough today
11,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info
12,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw
13,search right word thank breather promis wont take help grant fulfil promis wonder bless time
14,date sunday
15,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
16,oh k watch
17,eh u rememb spell name ye v naughti make v wet
18,fine way u feel way gota b
19,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq
20,serious spell name
21,go tri month ha ha joke
22,pay first lar da stock comin
23,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
24,ffffffffff alright way meet sooner
25,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
26,lol alway convinc
27,catch bu fri egg make tea eat mom left dinner feel love
28,back amp pack car let know room
29,ahhh work vagu rememb feel like lol
30,wait still clear sure sarcast x want live us
31,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer
32,k tell anyth
33,fear faint housework quick cuppa
34,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg
35,yup ok go home look time msg xuhui go learn nd may lesson
36,oop let know roommat done
37,see letter b car
38,anyth lor u decid
39,hello saturday go text see decid anyth tomo tri invit anyth
40,pl go ahead watt want sure great weekend abiola
41,forget tell want need crave love sweet arabian steed mmmmmm yummi
42,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow
43,see
44,great hope like man well endow lt gt inch
45,call messag miss call
46,get hep b immunis nigeria
47,fair enough anyth go
48,yeah hope tyler could mayb ask around bit
49,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker
50,think first time saw class
51,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt
52,k fyi x ride earli tomorrow morn crash place tonight
53,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass
54,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
55,know mallika sherawat yesterday find lt url gt
56,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss
57,sorri call later meet
58,tell reach
59,ye gauti sehwag odi seri
60,gonna pick burger way home even move pain kill
61,ha ha ha good joke girl situat seeker
62,part check iq
63,sorri roommat took forev ok come
64,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
65,valu custom pleas advis follow recent review mob award bonu prize call
66,today song dedic day song u dedic send ur valuabl frnd first rpli
67,urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj
68,hear new divorc barbi come ken stuff
69,plane give month end
70,wah lucki man save money hee
71,finish class
72,hi babe im home wanna someth xx
73,k k perform
74,u call
75,wait machan call free
76,that cool gentleman treat digniti respect
77,like peopl much shi pa
78,oper lt gt
79,still look job much ta earn
80,sorri call later
81,k call ah
82,ok way home hi hi
83,place man
84,yup next stop
85,call later network urgnt sm
86,real u get yo need ticket one jacket done alreadi use multi
87,ye start send request make pain came back back bed doubl coin factori gotta cash nitro
88,realli still tonight babe
89,ela kano il download come wen ur free
90,yeah stand close tho catch someth
91,sorri pain ok meet anoth night spent late afternoon casualti mean done stuff moro includ time sheet sorri
92,smile pleasur smile pain smile troubl pour like rain smile sum hurt u smile becoz someon still love see u smile
93,pleas call custom servic repres pm guarante cash prize
94,havent plan buy later check alreadi lido got show e afternoon u finish work alreadi
95,free rington wait collect simpli text password mix verifi get usher britney fml
96,watch telugu movi wat abt u
97,see finish load loan pay
98,hi wk ok hol ye bit run forgot hairdress appoint four need get home n shower beforehand caus prob u ham
99,pleas text anymor noth els say
100,okay name ur price long legal wen pick u ave x am xx
101,still look car buy gone drive test yet
102,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
103,wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston
104,umma life vava umma love lot dear
105,thank lot wish birthday thank make birthday truli memor
106,aight hit get cash
107,would ip address test consid comput minecraft server
108,know grumpi old peopl mom like better lie alway one play joke
109,dont worri guess busi
110,plural noun research
111,go dinner msg
112,ok wif co like tri new thing scare u dun like mah co u said loud
113,gent tri contact last weekend draw show prize guarante call claim code k valid hr ppm
114,wa ur openin sentenc formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
115,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went
116,winner u special select receiv holiday flight inc speak live oper claim p min
117,goodo ye must speak friday egg potato ratio tortilla need
118,hmm uncl inform pay school directli pl buy food
119,privat account statement show unredeem bonu point claim call identifi code expir
120,urgent mobil award bonu caller prize final tri contact u call landlin box wr c ppm
121,new address appl pair malarki
122,today voda number end select receiv award match pleas call quot claim code standard rate app
123,go sao mu today done
124,predict wat time finish buy
125,good stuff
126,know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis
127,room
128,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
129,k k much cost
130,home
131,dear call tmorrow pl accomod
132,first answer question
133,sunshin quiz wkli q win top soni dvd player u know countri algarv txt ansr sp tyron
134,want get laid tonight want real dog locat sent direct ur mob join uk largest dog network bt txting gravel nt ec p msg p
135,haf msn yiju hotmail com
136,call meet
137,check room befor activ
138,rcv msg chat svc free hardcor servic text go u get noth u must age verifi yr network tri
139,got c lazi type forgot lect saw pouch like v nice
140,k text way
141,sir wait mail
142,swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni
143,know pl open back
144,ye see ya dot
145,what staff name take class us
146,freemsg repli text randi sexi femal live local luv hear u netcollex ltd p per msg repli stop end
147,ummma call check life begin qatar pl pray hard
148,k delet contact
149,sindu got job birla soft
150,wine flow never
151,yup thk cine better co need go plaza mah
152,ok ur typic repli
153,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
154,everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot tv show see guess like thing must exist like rain hail mist time done becom one
155,aaooooright work
156,leav hous
157,hello love get interview today happi good boy think miss
158,custom servic annonc new year deliveri wait pleas call arrang deliveri
159,winner u special select receiv cash holiday flight inc speak live oper claim
160,keep safe need miss alreadi envi everyon see real life
161,new car hous parent new job hand
162,love excit day spend make happi
163,pl stop bootydeli f invit friend repli ye see www sm ac u bootydeli stop send stop frnd
164,bangbab ur order way u receiv servic msg download ur content u goto wap bangb tv ur mobil internet servic menu
165,place ur point e cultur modul alreadi
166,urgent tri contact last weekend draw show prize guarante call claim code valid hr
167,hi frnd best way avoid missunderstd wit belov one
168,great escap fanci bridg need lager see tomo
169,ye complet form clark also utter wast
170,sir need axi bank account bank address
171,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao
172,time come later
173,bloodi hell cant believ forgot surnam mr ill give u clue spanish begin
174,well gonna finish bath good fine night
175,let know got money carlo make call
176,u still go mall
177,turn friend stay whole show back til lt gt feel free go ahead smoke lt gt worth
178,text doesnt repli let know log
179,hi spoke maneesha v like know satisfi experi repli toll free ye
180,lift hope offer money need especi end month approach hurt studi anyway gr weekend
181,lol u trust
182,ok gentleman treat digniti respect
183,guy close
184,go noth great bye
185,hello handsom find job lazi work toward get back net mummi boytoy miss
186,haha awesom minut
187,pleas call custom servic repres freephon pm guarante cash prize
188,got xma radio time get
189,ju reach home go bath first si use net tell u finish k
190,uniqu enough find th august www areyouuniqu co uk
191,sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week
192,hi final complet cours
193,stop howev suggest stay someon abl give or everi stool
194,hope settl new school year wishin gr day
195,gud mrng dear hav nice day
196,u got person stori
197,hamster dead hey tmr meet pm orchard mrt
198,hi kate even hope see tomorrow bit bloodi babyjontet txt back u xxx
199,found enc lt gt
200,sent lt gt buck
201,hello darlin ive finish colleg txt u finish u love kate xxx
202,account refil success inr lt decim gt keralacircl prepaid account balanc rs lt decim gt transact id kr lt gt
203,goodmorn sleep ga
204,u call alter ok
205,say like dat dun buy ericsson oso cannot oredi lar
206,enter cabin pa said happi b day boss felt special askd lunch lunch invit apart went
207,aight yo dat straight dogg
208,pleas give us connect today lt decim gt refund bill
209,shoot big load get readi
210,bruv hope great break reward semest
211,home alway chat
212,k k good studi well
213,yup noe leh
214,sound great home
215,final match head toward draw predict
216,tire slept well past night
217,easi ah sen got select mean good
218,take exam march
219,yeah think use gt atm regist sure anyway help let know sure readi
220,ok prob take ur time
221,os call ubandu run without instal hard disk use os copi import file system give repair shop
222,sorri call later
223,u say leh cours noth happen lar say v romant ju bit lor thk e nite sceneri nice leh
224,new mobil must go txt nokia collect today www tc biz optout gbp mtmsg
225,would realli appreci call need someon talk
226,u meet ur dream partner soon ur career flyng start find free txt horo follow ur star sign e g horo ari
227,hey compani elama po mudyadhu
228,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn
229,dear good morn
230,get gandhipuram walk cross cut road right side lt gt street road turn first right
231,dear go rubber place
232,sorri batteri die yeah
233,ye tv alway avail work place
234,text meet someon sexi today u find date even flirt u join p repli name age eg sam msg recd thirtyeight penc
235,print oh lt gt come upstair
236,ill littl closer like bu stop street
237,wil reach
238,new theori argument win situat lose person dont argu ur friend kick amp say alway correct
239,u secret admir look make contact u find r reveal think ur special call
240,tomarrow final hear laptop case cant
241,pleassssssseeeee tel v avent done sportsx
242,okay shine meant sign sound better
243,although told u dat baig face watch realli like e watch u gave co fr u thanx everyth dat u done today touch
244,u rememb old commerci
245,late said websit dont slipper
246,ask call ok
247,kalli wont bat nd inning
248,didnt work oh ok goodnight fix readi time wake dearli miss good night sleep
249,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age
250,ranjith cal drpd deeraj deepak min hold
251,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show deep affect care n luv kettoda manda nice day da
252,
253,up day also ship compani take wk way usp take week get lag may bribe nipost get stuff
254,back lemm know readi
255,necessarili expect done get back though headin
256,mmm yummi babe nice jolt suzi
257,lover need
258,tri contact repli offer video handset anytim network min unlimit text camcord repli call
259,park next mini come today think
260,yup
261,anyway go shop co si done yet dun disturb u liao
262,luton ring ur around h
263,hey realli horni want chat see nake text hot text charg pm unsubscrib text stop
264,dint come us
265,wana plan trip sometm
266,sure yet still tri get hold
267,ur rington servic chang free credit go club mobil com choos content stop txt club stop p wk club po box mk wt
268,evo download flash jealou
269,rington club get uk singl chart mobil week choos top qualiti rington messag free charg
270,come mu sort narcot situat
271,night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay
272,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com
273,usf guess might well take car
274,object bf come
275,thanx
276,tell rob mack gf theater
277,awesom see bit
278,sent type food like
279,done hand celebr full swing yet
280,got call tool
281,wen u miss someon
282,ok ask money far
283,oki
284,yeah think usual guy still pass last night get ahold anybodi let know throw
285,k might come tonight class let earli
286,ok
287,hi babi im cruisin girl friend r u give call hour home that alright fone fone love jenni xxx
288,life mean lot love life love peopl life world call friend call world ge
289,dear shall mail tonit busi street shall updat tonit thing look ok varunnathu edukkukaye raksha ollu good one real sens
290,hey told name gautham ah
291,haf u found feel stupid da v cam work
292,oop got bit
293,much buzi
294,accident delet messag resend pleas
295,mobil custom may claim free camera phone upgrad pay go sim card loyalti call offer end thfeb c appli
296,unless situat go gurl would appropri
297,hurt teas make cri end life die plz keep one rose grave say stupid miss u nice day bslvyl
298,cant pick phone right pl send messag
299,need coffe run tomo believ time week alreadi
300,awesom rememb last time got somebodi high first time diesel v
301,shit realli shock scari cant imagin second def night u think somewher could crash night save taxi
302,oh way food fridg want go meal tonight
303,womdarful actor
304,sm ac blind date u rodd aberdeen unit kingdom check http img sm ac w icmb cktz r blind date send hide
305,yup remb think book
306,jo ask u wana meet
307,lol ye friendship hang thread caus u buy stuff
308,themob check newest select content game tone gossip babe sport keep mobil fit funki text wap
309,garag key bookshelf
310,today accept day u accept brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi
311,think ur smart win week weekli quiz text play cs winnersclub po box uz gbp week
312,say give call friend got money definit buy end week
313,hi way u day normal way real ur uniqu hope know u rest mylif hope u find wot lost
314,made day great day
315,k k advanc happi pongal
316,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
317,realli dude friend afraid
318,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free
319,coffe cake guess
320,merri christma babe love ya kiss
321,hey dont go watch x men lunch haha
322,cud u tell ppl im gona b bit l co buse hav gon past co full im still waitin pete x
323,would great guild could meet bristol road somewher get touch weekend plan take flight good week
324,problem
325,call messag miss call
326,hi da today class
327,say good sign well know track record read women
328,cool text park
329,read text sent meant joke read light
330,k k apo k good movi
331,mayb could get book tomo return immedi someth
332,call germani penc per minut call fix line via access number prepay direct access
333,chanc might evapor soon violat privaci steal phone number employ paperwork cool pleas contact report supervisor
334,valentin day special win quiz take partner trip lifetim send go p msg rcvd custcar
335,ta daaaaa home babe still
336,cool come havent wine dine
337,sleep surf
338,sorri call later
339,u call right call hand phone
340,ok great thanx lot
341,take post come must text happi read one wiv hello carolin end favourit bless
342,u hide stranger
343,interest like
344,sister clear two round birla soft yesterday
345,gudnit tc practic go
346,di yiju ju saw ur mail case huim havent sent u num di num
347,one small prestig problem
348,fanci shag interest sextextuk com txt xxuk suzi txt cost per msg tnc websit x
349,check realli miss see jeremiah great month
350,nah help never iphon
351,car hour half go apeshit
352,today sorri day ever angri ever misbehav hurt plz plz slap urself bcoz ur fault basic good
353,yo guy ever figur much need alcohol jay tri figur much safe spend weed
354,lt gt ish minut minut ago wtf
355,thank call forgot say happi onam sirji fine rememb met insur person meet qatar insha allah rakhesh ex tata aig join tissco tayseer
356,congratul ur award cd voucher gift guarante free entri wkli draw txt music tnc www ldew com win ppmx age
357,ur cash balanc current pound maxim ur cash send cash p msg cc hg suit land row w j hl
358,actor work work even sleep late sinc unemploy moment alway sleep late unemploy everi day saturday
359,hello got st andrew boy long way cold keep post
360,ha ha cool cool chikku chikku db
361,oh ok prob
362,check audrey statu right
363,busi tri finish new year look forward final meet
364,good afternoon sunshin dawn day refresh happi aliv breath air smile think love alway
365,well know z take care worri
366,updat xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd call optout f q
367,discount code rp stop messag repli stop www regalportfolio co uk custom servic
368,wat uniform get
369,cool text readi
370,hello boytoy geeee miss alreadi woke wish bed cuddl love
371,spoil bed well
